Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,disloyal Customer,21,Business travel,Eco,1440,5,4,4,1,3,5,3,3,5,3,4,5,4,3,0,0.0,satisfied
Female,Loyal Customer,23,Business travel,Business,3152,2,2,2,2,2,1,2,2,2,4,2,4,3,2,29,42.0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Business,1916,1,1,1,1,4,5,4,4,5,4,5,3,5,4,0,0.0,satisfied
Male,Loyal Customer,48,Business travel,Business,2123,2,4,4,4,1,4,4,2,2,2,2,3,2,3,9,0.0,neutral or dissatisfied
Male,Loyal Customer,72,Business travel,Business,2076,5,5,5,5,1,3,3,3,3,3,3,3,3,4,0,0.0,satisfied
Male,Loyal Customer,52,Business travel,Business,2007,5,5,5,5,2,5,4,4,4,4,4,3,4,5,0,15.0,satisfied
Male,Loyal Customer,40,Business travel,Business,954,3,5,3,3,2,5,4,4,4,4,4,5,4,4,9,4.0,satisfied
Female,Loyal Customer,55,Business travel,Business,1095,4,4,4,4,5,5,5,5,5,5,5,5,5,3,0,5.0,satisfied
Female,Loyal Customer,28,Personal Travel,Eco,2457,4,4,4,2,1,4,1,1,5,5,5,4,5,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Business,3979,2,2,2,2,5,5,5,5,5,5,5,4,5,5,0,4.0,satisfied
Female,Loyal Customer,54,Business travel,Business,2509,4,4,4,4,3,5,4,3,3,4,3,3,3,3,6,0.0,satisfied
Female,Loyal Customer,35,Business travel,Business,1750,4,4,4,4,2,2,2,3,3,3,3,4,3,3,0,11.0,satisfied
Male,Loyal Customer,36,Business travel,Eco Plus,271,3,5,5,5,3,3,3,3,1,4,3,3,4,3,8,12.0,neutral or dissatisfied
Male,Loyal Customer,60,Business travel,Business,848,1,1,1,1,4,4,4,4,4,4,5,4,3,4,207,223.0,satisfied
Male,Loyal Customer,29,Personal Travel,Eco,404,3,3,3,3,1,3,1,1,4,1,3,4,3,1,31,24.0,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Business,3274,0,0,0,2,3,5,5,3,3,3,3,3,3,4,11,11.0,satisfied
Female,Loyal Customer,38,Business travel,Eco,192,3,3,3,3,3,3,3,3,4,2,4,4,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Business,2640,3,1,2,2,3,3,3,1,2,3,4,3,1,3,0,4.0,neutral or dissatisfied
Male,disloyal Customer,23,Business travel,Business,224,0,0,0,3,1,0,1,1,2,5,2,3,4,1,10,13.0,satisfied
Female,Loyal Customer,18,Business travel,Business,589,2,1,1,1,2,3,2,2,3,4,4,4,3,2,78,101.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,2129,4,4,2,4,4,5,4,5,5,5,5,5,5,3,0,0.0,satisfied
Female,Loyal Customer,50,Business travel,Eco,204,5,4,4,4,3,1,5,5,5,5,5,4,5,2,26,17.0,satisfied
Female,Loyal Customer,7,Business travel,Business,516,3,2,2,2,3,3,3,3,1,1,4,3,4,3,0,10.0,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Business,3486,1,1,1,1,2,4,5,5,5,4,4,4,5,3,0,11.0,satisfied
Male,disloyal Customer,24,Business travel,Eco,584,5,0,5,1,1,5,1,1,4,4,5,3,3,1,2,0.0,satisfied
Male,Loyal Customer,45,Business travel,Business,3310,2,2,2,2,2,1,2,4,4,4,4,4,4,1,0,0.0,satisfied
Female,Loyal Customer,36,Business travel,Business,528,1,1,1,1,5,4,4,1,1,1,1,4,1,3,36,10.0,neutral or dissatisfied
Female,Loyal Customer,16,Personal Travel,Eco,436,1,5,1,4,5,1,5,5,5,4,5,4,5,5,5,7.0,neutral or dissatisfied
Female,Loyal Customer,40,Personal Travel,Eco,370,2,1,2,3,1,2,1,1,4,2,2,1,3,1,9,2.0,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Eco,495,4,0,4,4,5,4,5,5,5,1,4,2,4,5,3,5.0,satisfied
Male,Loyal Customer,11,Personal Travel,Eco,229,3,5,3,1,4,3,4,4,4,2,4,5,5,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,39,Personal Travel,Eco,328,0,4,0,4,1,0,5,1,4,4,2,3,2,1,12,0.0,satisfied
Female,Loyal Customer,52,Business travel,Business,446,3,3,3,3,3,5,4,4,4,4,4,3,4,4,29,16.0,satisfied
Female,Loyal Customer,56,Business travel,Business,882,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
Male,disloyal Customer,38,Business travel,Business,2133,4,4,4,1,3,4,3,3,5,3,3,5,4,3,27,0.0,satisfied
Male,Loyal Customer,56,Personal Travel,Eco,2402,3,0,3,1,3,2,2,4,3,5,4,2,4,2,0,1.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Business,2047,3,3,3,3,2,4,4,4,4,4,4,3,4,3,2,0.0,satisfied
Male,disloyal Customer,30,Business travel,Business,738,5,5,5,3,5,5,5,5,4,5,4,5,5,5,0,0.0,satisfied
Male,Loyal Customer,52,Personal Travel,Eco,1121,1,4,1,2,4,1,4,4,5,4,4,4,5,4,0,7.0,neutral or dissatisfied
Female,Loyal Customer,23,Personal Travel,Eco,2079,3,4,3,2,3,5,5,4,5,5,5,5,4,5,183,181.0,neutral or dissatisfied
Female,Loyal Customer,24,Personal Travel,Eco,1249,4,5,4,5,3,4,3,3,3,4,3,3,4,3,10,8.0,neutral or dissatisfied
Female,Loyal Customer,44,Business travel,Business,1549,2,2,2,2,3,2,1,4,4,4,4,2,4,2,0,0.0,satisfied
Male,disloyal Customer,25,Business travel,Eco,748,3,4,4,1,4,3,3,3,5,4,4,3,3,3,10,11.0,neutral or dissatisfied
Female,Loyal Customer,19,Personal Travel,Business,1670,3,3,3,4,3,3,3,3,3,5,3,2,4,3,42,7.0,neutral or dissatisfied
Male,Loyal Customer,47,Business travel,Business,3240,2,2,2,2,2,4,4,2,2,2,2,5,2,3,0,7.0,satisfied
Male,Loyal Customer,55,Business travel,Business,237,2,2,2,2,4,5,4,4,4,4,4,4,4,3,3,1.0,satisfied
Male,Loyal Customer,14,Personal Travel,Eco,603,2,5,2,3,5,2,5,5,5,2,4,4,5,5,5,7.0,neutral or dissatisfied
Female,disloyal Customer,34,Business travel,Eco,760,1,1,1,4,4,1,2,4,4,4,4,3,4,4,6,29.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Business,1009,4,3,4,2,2,4,2,2,4,5,4,3,4,2,17,10.0,satisfied
Female,Loyal Customer,33,Business travel,Eco Plus,1749,2,3,3,3,2,2,2,2,3,2,4,2,4,2,47,32.0,neutral or dissatisfied
Female,disloyal Customer,21,Business travel,Eco,423,2,4,2,4,5,2,5,5,2,5,4,3,4,5,39,33.0,neutral or dissatisfied
Female,disloyal Customer,39,Business travel,Business,964,2,2,2,1,3,2,3,3,3,3,4,3,4,3,21,0.0,satisfied
Female,Loyal Customer,52,Business travel,Business,3333,1,1,4,1,4,5,4,5,5,5,5,3,5,4,0,0.0,satisfied
Male,Loyal Customer,59,Personal Travel,Eco Plus,999,3,4,3,3,4,3,4,4,3,2,5,3,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,30,Personal Travel,Eco,2342,3,3,4,2,4,5,5,1,1,3,3,5,1,5,0,21.0,neutral or dissatisfied
Male,disloyal Customer,36,Business travel,Business,1438,4,3,3,2,1,3,1,1,3,3,4,5,5,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,38,Business travel,Eco,351,3,0,3,3,1,3,3,1,3,1,4,1,3,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,35,Personal Travel,Eco,2139,3,5,3,3,2,3,2,2,5,2,5,5,5,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,1754,1,1,2,1,4,4,4,3,3,4,3,5,3,5,0,0.0,satisfied
Female,Loyal Customer,27,Personal Travel,Eco Plus,1721,1,4,1,4,1,1,5,1,2,2,2,4,3,1,3,16.0,neutral or dissatisfied
Male,disloyal Customer,21,Business travel,Eco,451,3,3,4,2,4,4,4,4,3,4,4,4,1,4,12,13.0,neutral or dissatisfied
Male,Loyal Customer,41,Business travel,Eco,145,5,5,5,5,5,5,5,5,1,4,4,5,2,5,0,0.0,satisfied
Male,Loyal Customer,43,Business travel,Eco Plus,501,2,5,5,5,2,2,2,2,2,5,1,3,2,2,0,0.0,satisfied
Female,disloyal Customer,61,Business travel,Business,309,2,2,2,3,1,2,1,1,2,3,4,2,4,1,19,14.0,neutral or dissatisfied
Female,disloyal Customer,42,Business travel,Business,213,2,1,1,5,1,2,1,1,4,5,5,5,5,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,25,Personal Travel,Eco,259,5,1,5,3,1,5,1,1,4,1,3,3,4,1,0,0.0,satisfied
Male,Loyal Customer,59,Business travel,Business,577,3,3,3,3,5,4,4,4,4,4,4,3,4,5,0,0.0,satisfied
Female,Loyal Customer,17,Personal Travel,Eco,262,1,5,1,3,2,1,2,2,2,4,5,2,3,2,7,14.0,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,404,3,3,4,3,5,5,4,3,3,3,3,5,3,3,40,37.0,satisfied
Male,Loyal Customer,41,Business travel,Eco,526,1,0,0,3,4,1,4,4,4,3,3,4,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,54,Business travel,Business,481,1,1,1,1,4,4,4,5,5,5,5,5,5,4,0,1.0,satisfied
Female,Loyal Customer,41,Business travel,Eco Plus,990,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,0.0,neutral or dissatisfied
Male,Loyal Customer,69,Business travel,Eco,1533,3,3,3,3,3,3,3,3,4,1,4,4,3,3,0,14.0,neutral or dissatisfied
Female,Loyal Customer,20,Personal Travel,Eco,515,2,5,2,4,5,2,5,5,4,4,5,5,5,5,0,13.0,neutral or dissatisfied
Female,Loyal Customer,51,Business travel,Business,250,1,5,5,5,5,1,2,1,1,2,1,3,1,1,42,64.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Business,764,5,0,5,3,5,5,5,5,3,5,5,3,4,5,11,0.0,satisfied
Female,Loyal Customer,43,Business travel,Eco,569,2,2,2,2,1,3,4,2,2,2,2,1,2,3,0,44.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Eco,333,2,2,2,2,5,2,5,5,4,1,1,3,2,5,37,14.0,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Business,1521,5,5,5,5,4,4,4,4,4,5,4,2,2,4,32,34.0,satisfied
Female,Loyal Customer,34,Business travel,Business,1728,4,4,4,4,4,4,4,3,3,3,3,4,3,5,0,0.0,satisfied
Male,Loyal Customer,24,Personal Travel,Eco Plus,532,1,4,3,5,3,3,3,3,4,4,5,3,5,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,31,Business travel,Business,2559,2,4,2,2,5,4,5,5,2,1,5,3,1,5,0,0.0,satisfied
Female,disloyal Customer,8,Business travel,Eco,2092,2,3,3,3,4,2,4,4,4,3,3,3,3,4,26,23.0,neutral or dissatisfied
Female,disloyal Customer,16,Business travel,Eco,359,3,4,3,4,4,3,3,4,2,3,4,1,3,4,15,8.0,neutral or dissatisfied
Male,disloyal Customer,24,Business travel,Eco,819,5,5,5,2,2,5,2,2,5,3,5,5,2,2,8,7.0,satisfied
Male,disloyal Customer,59,Business travel,Business,223,4,4,4,3,2,4,2,2,1,1,4,1,4,2,73,66.0,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Business,3470,4,4,4,4,2,4,5,2,2,2,2,4,2,4,36,24.0,satisfied
Female,disloyal Customer,39,Business travel,Business,406,2,2,2,3,3,2,3,3,4,5,5,4,5,3,0,4.0,neutral or dissatisfied
Male,Loyal Customer,41,Personal Travel,Eco,302,4,4,5,1,4,5,4,4,4,3,4,4,4,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,59,Business travel,Business,236,2,2,2,4,4,2,4,4,4,2,3,2,4,4,53,55.0,neutral or dissatisfied
Female,Loyal Customer,41,Personal Travel,Eco,861,2,5,2,3,3,2,3,3,4,4,4,3,4,3,0,10.0,neutral or dissatisfied
Male,Loyal Customer,54,Business travel,Business,2383,2,2,2,2,2,4,5,5,5,5,5,4,5,5,0,0.0,satisfied
Male,Loyal Customer,26,Business travel,Business,1020,3,3,3,3,4,4,4,4,3,4,5,4,5,4,0,0.0,satisfied
Female,Loyal Customer,25,Personal Travel,Eco,285,3,4,3,4,2,3,2,2,4,3,3,1,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Business,247,2,2,2,2,4,4,5,4,4,4,4,4,4,5,10,0.0,satisfied
Male,Loyal Customer,27,Personal Travel,Eco,337,1,4,3,4,4,3,4,4,3,5,4,3,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,200,2,2,2,2,3,5,4,5,5,5,4,5,5,1,0,0.0,satisfied
Male,disloyal Customer,33,Business travel,Eco,368,3,1,3,4,1,3,3,1,1,1,3,3,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,45,Business travel,Business,3178,3,3,3,3,5,3,4,3,3,4,3,1,3,5,0,0.0,satisfied
Male,Loyal Customer,44,Business travel,Business,3357,4,4,4,4,3,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
Male,Loyal Customer,61,Business travel,Business,413,5,5,5,5,3,4,4,4,4,4,4,5,4,3,0,0.0,satisfied
Female,Loyal Customer,41,Business travel,Business,737,2,2,2,2,1,2,2,5,5,5,5,2,5,2,0,0.0,satisfied
Female,Loyal Customer,57,Business travel,Business,294,1,1,1,1,5,5,4,4,4,4,4,5,4,3,0,1.0,satisfied
Male,Loyal Customer,44,Personal Travel,Eco Plus,1607,3,4,3,3,3,3,5,3,3,3,4,5,4,3,38,33.0,neutral or dissatisfied
Male,Loyal Customer,20,Personal Travel,Eco,733,4,2,4,4,2,4,2,2,1,4,4,3,3,2,0,23.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Eco,483,2,5,5,5,2,2,2,2,4,5,4,1,3,2,5,0.0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,2326,2,2,2,2,3,1,5,4,4,4,4,2,4,5,21,12.0,satisfied
Male,Loyal Customer,45,Business travel,Business,3346,4,4,4,4,2,4,4,3,3,4,3,4,3,4,0,0.0,satisfied
Female,Loyal Customer,36,Business travel,Eco,692,3,2,2,2,3,3,3,3,2,1,4,4,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,16,Personal Travel,Eco,837,2,5,2,5,1,2,1,1,5,2,4,4,4,1,1,14.0,neutral or dissatisfied
Male,Loyal Customer,68,Business travel,Business,1368,1,1,1,1,4,2,3,4,4,4,4,3,4,5,0,0.0,satisfied
Male,Loyal Customer,45,Business travel,Business,989,1,1,4,1,5,4,4,4,4,4,4,5,4,3,0,0.0,satisfied
Female,Loyal Customer,41,Business travel,Business,447,2,1,1,1,5,3,4,2,2,2,2,2,2,2,22,10.0,neutral or dissatisfied
Male,disloyal Customer,22,Business travel,Eco,101,1,0,1,2,3,1,2,3,1,2,4,5,5,3,0,0.0,neutral or dissatisfied
Male,disloyal Customer,50,Business travel,Eco,163,3,5,3,4,1,3,1,1,1,5,5,1,2,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,16,Business travel,Eco,874,2,2,2,3,1,2,3,1,3,4,4,2,4,1,13,0.0,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,2870,5,5,3,5,5,4,4,3,3,3,3,5,3,3,1,0.0,satisfied
Female,Loyal Customer,51,Business travel,Business,3437,0,5,0,4,5,5,5,5,5,5,2,4,5,4,1,2.0,satisfied
Male,Loyal Customer,43,Business travel,Eco,427,2,4,4,4,2,2,2,2,4,1,2,2,3,2,0,13.0,neutral or dissatisfied
Female,Loyal Customer,41,Business travel,Business,3060,4,4,4,4,4,4,5,5,5,5,5,4,5,4,0,0.0,satisfied
Male,Loyal Customer,34,Personal Travel,Eco,841,4,2,4,4,4,4,3,1,3,4,3,3,4,3,166,174.0,neutral or dissatisfied
Female,Loyal Customer,64,Personal Travel,Eco,589,2,5,2,2,5,4,5,3,3,2,3,5,3,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Business,3269,3,1,1,1,2,1,2,3,3,3,3,4,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Eco,216,5,5,2,5,5,5,5,5,3,3,2,1,4,5,0,0.0,satisfied
Female,Loyal Customer,41,Personal Travel,Eco Plus,628,2,5,3,1,3,1,5,2,2,3,1,5,2,2,7,33.0,neutral or dissatisfied
Male,Loyal Customer,61,Personal Travel,Eco,468,1,4,1,3,2,1,2,2,4,5,4,4,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,27,Business travel,Eco,689,0,1,1,3,3,1,3,3,3,1,4,3,2,3,0,0.0,satisfied
Male,Loyal Customer,24,Business travel,Business,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,24,Business travel,Business,2323,2,2,2,2,4,5,4,4,3,5,4,5,4,4,0,0.0,satisfied
Male,Loyal Customer,51,Personal Travel,Eco,239,2,1,2,3,5,2,5,5,4,4,3,2,3,5,6,0.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,3735,2,2,2,2,5,5,5,5,5,4,5,5,5,5,0,0.0,satisfied
Male,Loyal Customer,60,Business travel,Business,214,4,3,4,4,5,5,4,4,4,4,4,3,4,4,0,0.0,satisfied
Female,Loyal Customer,56,Business travel,Business,1506,3,3,3,3,5,5,4,4,4,5,4,5,4,5,0,0.0,satisfied
Male,Loyal Customer,25,Personal Travel,Business,679,3,4,3,3,2,3,2,2,3,5,5,4,5,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,42,Personal Travel,Eco,227,2,4,2,2,4,4,5,4,4,2,3,5,4,4,55,59.0,neutral or dissatisfied
Female,Loyal Customer,48,Personal Travel,Eco,1117,2,5,3,4,5,5,4,4,4,3,3,3,4,3,29,0.0,neutral or dissatisfied
Female,Loyal Customer,9,Personal Travel,Eco,354,3,5,3,1,4,3,4,4,1,1,5,4,4,4,2,9.0,neutral or dissatisfied
Female,Loyal Customer,34,Personal Travel,Eco,692,2,2,2,3,1,2,5,1,2,4,2,4,3,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Business,3236,5,5,5,5,4,4,4,4,3,2,4,5,4,4,4,0.0,satisfied
Male,Loyal Customer,11,Personal Travel,Eco,1197,3,4,3,3,4,3,4,4,5,5,3,4,4,4,1,0.0,neutral or dissatisfied
Female,Loyal Customer,54,Personal Travel,Eco,1464,2,3,2,3,5,3,4,2,2,2,2,1,2,3,30,21.0,neutral or dissatisfied
Male,Loyal Customer,61,Business travel,Eco,955,4,3,3,3,4,4,4,4,3,3,2,5,4,4,0,0.0,satisfied
Male,Loyal Customer,18,Personal Travel,Eco,265,3,5,0,3,5,0,5,5,3,3,3,1,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,38,Personal Travel,Eco Plus,332,4,1,5,3,1,5,1,1,4,2,3,1,3,1,107,96.0,neutral or dissatisfied
Male,Loyal Customer,44,Personal Travel,Eco,696,4,4,4,3,4,4,1,4,5,3,5,4,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,70,Personal Travel,Eco,404,3,5,4,5,4,3,2,5,5,4,1,5,5,1,9,2.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Eco,140,4,1,4,1,4,4,4,4,1,5,2,3,5,4,10,8.0,satisfied
Female,disloyal Customer,30,Business travel,Eco,946,1,1,1,3,1,1,1,1,1,4,4,4,2,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Eco,770,2,2,2,3,2,5,5,3,5,5,4,5,5,5,162,160.0,neutral or dissatisfied
Male,disloyal Customer,27,Business travel,Business,501,0,0,0,4,3,0,3,3,3,5,4,4,5,3,0,0.0,satisfied
Male,Loyal Customer,34,Business travel,Business,2157,2,2,2,2,4,5,4,5,5,5,5,4,5,5,0,0.0,satisfied
Female,Loyal Customer,14,Personal Travel,Eco,420,3,2,3,3,2,3,2,2,3,2,4,3,4,2,5,0.0,neutral or dissatisfied
Female,Loyal Customer,30,Personal Travel,Eco,967,2,5,2,4,4,2,4,4,4,2,4,3,4,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,27,Business travel,Eco,872,4,4,4,4,3,4,3,3,1,5,4,4,3,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,27,Business travel,Eco,909,5,5,5,3,1,5,1,1,3,5,3,4,1,1,0,0.0,satisfied
Female,Loyal Customer,44,Business travel,Business,2288,4,4,4,4,5,5,4,2,2,2,2,4,2,5,0,0.0,satisfied
Male,Loyal Customer,27,Personal Travel,Eco,1592,2,1,2,3,2,2,5,2,3,2,3,2,4,2,0,22.0,neutral or dissatisfied
Female,disloyal Customer,26,Business travel,Eco,765,4,4,4,3,4,2,2,3,5,3,4,2,3,2,160,154.0,neutral or dissatisfied
Male,Loyal Customer,70,Business travel,Business,1986,4,2,2,2,2,4,4,4,4,4,4,2,4,2,19,0.0,neutral or dissatisfied
Male,Loyal Customer,29,Business travel,Business,2306,1,4,4,4,1,1,1,1,4,3,4,4,4,1,3,1.0,neutral or dissatisfied
Male,Loyal Customer,28,Business travel,Business,3314,2,2,2,2,5,5,5,5,5,5,5,3,5,5,0,0.0,satisfied
Male,Loyal Customer,58,Personal Travel,Eco,835,4,4,4,4,5,4,5,5,4,5,4,4,4,5,48,51.0,neutral or dissatisfied
Female,Loyal Customer,8,Personal Travel,Eco,2454,3,1,3,2,1,3,1,1,1,5,3,1,3,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,33,Business travel,Eco,1023,4,1,1,1,4,4,4,4,1,5,3,1,3,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,68,Personal Travel,Eco Plus,950,2,1,2,1,3,1,1,3,3,2,5,2,3,3,28,22.0,neutral or dissatisfied
Female,Loyal Customer,64,Personal Travel,Eco,1182,1,4,1,2,4,3,4,2,2,1,2,5,2,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,20,Business travel,Eco,836,3,3,3,1,5,3,4,5,2,1,2,2,5,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Business,1641,0,0,0,4,2,5,4,5,5,5,3,4,5,3,0,16.0,satisfied
Female,disloyal Customer,30,Business travel,Eco,189,4,2,4,3,3,4,3,3,4,1,4,2,4,3,0,35.0,neutral or dissatisfied
Female,Loyal Customer,62,Business travel,Business,2341,2,1,1,1,3,3,4,2,2,2,2,4,2,3,19,6.0,neutral or dissatisfied
Female,Loyal Customer,46,Personal Travel,Business,468,5,5,5,2,4,4,4,3,3,5,2,5,3,5,0,0.0,satisfied
Male,Loyal Customer,21,Business travel,Eco Plus,2355,0,5,0,2,3,0,3,3,2,3,5,5,1,3,0,1.0,satisfied
Male,Loyal Customer,21,Personal Travel,Eco,986,3,4,4,3,5,4,5,5,4,4,4,4,5,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Eco,480,4,3,2,3,4,4,4,4,4,5,3,1,4,4,27,21.0,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Business,2651,3,3,3,3,4,5,5,4,4,4,4,5,4,3,0,0.0,satisfied
Female,Loyal Customer,58,Business travel,Eco,515,2,3,3,3,1,2,3,2,2,2,2,2,2,2,5,27.0,neutral or dissatisfied
Male,disloyal Customer,12,Business travel,Eco,1084,5,5,5,4,4,5,4,4,3,4,4,5,4,4,10,3.0,satisfied
Female,Loyal Customer,67,Personal Travel,Eco,328,1,1,1,3,4,3,3,5,5,1,5,4,5,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,42,Business travel,Business,2454,3,3,3,3,5,5,4,5,5,5,5,3,5,5,0,3.0,satisfied
Male,Loyal Customer,37,Personal Travel,Eco,589,2,4,2,4,4,2,4,4,1,4,4,3,2,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,16,Business travel,Eco,663,4,3,3,4,3,3,3,3,1,3,1,5,4,3,6,3.0,satisfied
Male,disloyal Customer,39,Business travel,Eco,872,1,0,0,1,2,0,2,2,3,5,3,5,5,2,18,36.0,neutral or dissatisfied
Male,disloyal Customer,37,Business travel,Eco,177,2,3,2,3,2,2,2,2,3,3,4,3,3,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,22,Personal Travel,Eco,803,1,3,1,5,1,1,1,1,4,2,4,1,3,1,2,0.0,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Eco Plus,2562,4,1,3,1,4,4,4,4,1,5,3,1,5,4,0,0.0,satisfied
Male,disloyal Customer,21,Business travel,Business,719,5,0,4,1,5,4,2,5,3,2,5,4,4,5,9,16.0,satisfied
Female,Loyal Customer,46,Personal Travel,Eco,109,3,0,3,3,3,4,5,4,4,3,4,4,4,4,17,21.0,neutral or dissatisfied
Female,Loyal Customer,53,Business travel,Business,3946,3,3,3,3,4,4,4,4,4,5,4,4,4,4,262,316.0,satisfied
Male,Loyal Customer,37,Business travel,Eco,448,4,1,1,1,4,4,4,4,5,2,4,4,2,4,0,4.0,satisfied
Female,disloyal Customer,20,Business travel,Eco,67,4,0,4,1,5,4,5,5,4,5,5,3,4,5,2,10.0,neutral or dissatisfied
Female,Loyal Customer,27,Business travel,Business,236,2,4,4,4,2,2,2,2,2,1,3,2,3,2,9,12.0,neutral or dissatisfied
Male,Loyal Customer,59,Business travel,Business,925,5,5,5,5,5,5,4,3,3,4,3,4,3,5,67,57.0,satisfied
Female,Loyal Customer,51,Business travel,Business,1809,4,4,4,4,1,1,3,4,4,5,5,3,4,3,19,15.0,satisfied
Female,Loyal Customer,70,Personal Travel,Eco,209,2,2,2,3,5,3,4,2,2,2,2,3,2,1,0,4.0,neutral or dissatisfied
Female,Loyal Customer,12,Personal Travel,Eco,31,3,4,3,4,1,3,1,1,1,1,2,5,1,1,12,8.0,neutral or dissatisfied
Female,Loyal Customer,47,Personal Travel,Eco,861,2,1,2,3,1,4,3,4,4,2,2,1,4,1,0,3.0,neutral or dissatisfied
Male,Loyal Customer,29,Business travel,Business,2542,5,5,4,5,5,5,5,5,5,2,1,3,2,5,18,55.0,satisfied
Female,Loyal Customer,24,Business travel,Eco,715,3,4,4,4,3,3,1,3,4,2,3,2,3,3,0,7.0,neutral or dissatisfied
Female,Loyal Customer,61,Business travel,Eco,351,4,3,5,5,2,4,3,5,5,4,5,4,5,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Business,731,2,2,2,2,3,5,4,4,4,4,4,3,4,5,0,0.0,satisfied
Male,Loyal Customer,35,Business travel,Business,867,4,4,4,4,3,5,5,5,5,5,5,5,5,5,0,0.0,satisfied
Female,Loyal Customer,18,Personal Travel,Eco,689,3,2,4,3,4,4,4,4,2,1,4,4,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Business,607,2,4,4,4,2,2,2,2,2,5,3,4,3,2,0,29.0,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Business,874,3,2,3,3,4,5,4,5,5,5,5,5,5,5,0,0.0,satisfied
Male,Loyal Customer,32,Business travel,Business,1452,1,1,1,1,5,5,5,5,3,4,5,2,4,5,2,0.0,satisfied
Male,Loyal Customer,25,Personal Travel,Eco,590,2,3,2,3,3,2,3,3,1,1,4,1,3,3,0,0.0,neutral or dissatisfied
